PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,Season,Team_Wins,Draft_Pick,Season_End_Year,winner
2853,Earl Barron,Earl,1610612748,MIA,24.0,8,4,4,0.5,5.6,0.6,2.0,0.313,0.0,0.0,0.0,0.4,0.5,0.75,0.3,1.0,1.3,0.0,0.6,0.0,0.0,0.1,1.3,0.5,1.6,-4.1,2.5,0,0,2.9,75,74,75,33,70,70,62,76,53,61,53,59,63,34,62,48,58,79,43,78,63,68,48,55,70,79,78,23,2,76,1,2005-06,,,2006,0
101188,Eddie Basden,Eddie,1610612741,CHI,23.0,19,10,9,0.526,7.4,0.8,1.9,0.405,0.1,0.4,0.143,0.4,0.5,0.8,0.4,1.1,1.5,0.4,0.5,0.5,0.1,0.2,0.9,0.4,2.1,0.8,5.7,0,0,5.2,60,56,58,31,57,60,64,49,47,42,50,53,62,22,52,46,49,47,57,24,44,57,63,68,60,6,52,23,2,53,1,2005-06,,,2006,0
101212,Esteban Batista,Esteban,1610612737,ATL,22.0,57,14,43,0.246,8.7,0.6,1.4,0.425,0.0,0.0,0.0,0.6,0.9,0.623,1.1,1.5,2.5,0.1,0.7,0.3,0.2,0.3,1.9,0.9,1.8,-0.1,5.7,1,0,5.3,29,40,14,79,50,72,71,38,53,60,53,45,42,61,13,32,19,74,37,48,33,31,21,33,68,23,53,15,2,51,1,2005-06,,,2006,0
101177,Fabricio Oberto,Fabricio,1610612759,SAS,31.0,59,46,13,0.78,8.3,0.7,1.6,0.473,0.0,0.0,0.0,0.3,0.5,0.556,1.0,1.1,2.1,0.5,0.5,0.2,0.2,0.2,1.5,0.4,1.7,-0.6,5.5,0,0,5.0,27,1,49,6,54,63,69,22,53,58,53,67,65,66,16,45,31,43,55,64,36,53,33,66,69,37,54,23,2,55,1,2005-06,,,2006,0
101128,Francisco Garcia,Francisco,1610612758,SAC,24.0,67,36,31,0.537,19.4,1.9,4.9,0.4,0.6,2.0,0.285,1.2,1.5,0.772,0.6,2.2,2.8,1.4,1.1,0.6,0.7,0.2,2.0,1.3,5.6,-0.5,13.9,1,0,13.0,18,8,26,28,17,28,24,54,15,12,28,20,22,29,34,16,17,14,21,14,6,54,19,20,24,33,16,15,2,18,1,2005-06,,,2006,0
2809,Gerald Fitch,Gerald,1610612748,MIA,23.0,18,12,6,0.667,13.3,1.7,4.9,0.337,0.4,1.4,0.269,0.9,1.3,0.739,0.4,1.3,1.7,1.8,0.8,0.4,0.3,0.7,1.6,1.1,4.7,-0.3,10.6,0,0,9.9,63,50,68,13,31,29,22,73,19,16,31,28,27,38,50,40,44,11,30,31,22,7,32,27,29,27,27,23,2,29,1,2005-06,,,2006,0
101123,Gerald Green,Gerald,1610612738,BOS,20.0,32,13,19,0.406,11.7,2.1,4.3,0.478,0.2,0.6,0.3,0.9,1.2,0.784,0.3,1.0,1.3,0.6,0.7,0.4,0.1,0.1,1.3,0.7,5.2,-1.2,8.5,0,0,8.3,41,46,35,51,35,25,27,19,30,35,26,31,35,25,59,53,57,40,36,30,39,76,47,48,26,51,32,23,2,32,1,2005-06,,,2006,0
101124,Hakim Warrick,Hakim,1610612763,MEM,23.0,68,42,26,0.618,10.6,1.5,3.4,0.443,0.0,0.0,0.0,1.1,1.7,0.661,0.6,1.5,2.1,0.4,0.8,0.2,0.3,0.5,1.7,1.4,4.1,-1.1,8.0,0,0,7.7,16,2,31,15,39,31,31,31,53,61,53,21,17,53,31,31,29,44,31,55,17,13,27,19,31,50,35,23,2,35,1,2005-06,,,2006,0
101113,Ike Diogu,Ike,1610612744,GSW,22.0,69,26,43,0.377,14.9,2.5,4.8,0.524,0.0,0.0,0.0,2.0,2.4,0.81,1.4,1.9,3.3,0.4,1.1,0.2,0.4,0.6,2.4,1.9,7.0,-1.1,12.5,3,0,12.1,15,17,14,58,28,17,25,11,53,61,53,8,8,20,11,19,14,48,20,51,10,10,12,9,17,48,22,10,2,21,1,2005-06,,,2006,0
101189,James Singleton,James,1610612746,LAC,24.0,59,34,25,0.576,12.8,1.3,2.6,0.51,0.2,0.3,0.5,0.7,0.8,0.78,1.1,2.3,3.3,0.5,0.5,0.3,0.4,0.2,1.6,0.8,3.4,-0.8,9.7,3,0,8.8,27,10,32,23,34,37,46,13,31,43,3,41,45,27,14,15,12,42,55,39,12,49,30,40,37,42,30,10,2,31,1,2005-06,,,2006,0
